,ID,name,categories,lat,lng,cuisines,Rating,Cost for Two
0,,Karim's | करीम | کریم (Karim's),Indian Restaurant,28.64949759295152,77.2336908547362,Bakery,3.1,400.0
1,,Kake Di Hatti | काके दी हट्टी,Indian Restaurant,28.658049584701654,77.2233770564683,North Indian,4.3,500.0
2,,Al Jawahar | अल जवाहर | امام جواہر,Indian Restaurant,28.649608846249652,77.23355530889293,"Mughlai, North Indian, Kebab",4.1,500.0
3,,Changezi Chicken,Indian Restaurant,28.64375143292846,77.24048581691957,"Burger, Fast Food",3.8,500.0
4,,Sagar Ratna,Indian Restaurant,28.635487253836967,77.22064969494076,"South Indian, North Indian, Chinese",3.8,750.0
5,,Moti Mahal,Indian Restaurant,28.646522533312474,77.24014482739257,"North Indian, Chinese, Kebab",3.8,1100.0
6,,Haldiram's,Snack Place,28.656288944079645,77.23170543090595,Bakery,3.1,400.0
7,,Parawthe Wale,Indian Restaurant,28.65603318700734,77.23050001546382,North Indian,3.9,150.0
8,,The Indian Grill Restaurant,Restaurant,28.646140825017163,77.21513343500447,"North Indian, Fast Food, Mughlai",2.7,1300.0
9,,The Drunkyard Cafe,Tibetan Restaurant,28.641451,77.215506,"North Indian, Chinese, Continental, Thai, Momos",3.7,850.0
10,,Babu Ram Paranthe Wale,Indian Restaurant,28.655820126621173,77.23044812679291,North Indian,3.7,150.0
11,,Panchayat Paan Parlour,Indian Restaurant,28.634073264989183,77.22264498769991,Paan,4.0,150.0
12,,McDonald's,Fast Food Restaurant,28.661166313684927,77.22759628817572,Bakery,3.1,400.0
13,,쉼터,Korean Restaurant,28.64149453220881,77.21315160796688,NA,0,0.0
14,,Krishna rooftop cafe,Indian Chinese Restaurant,28.641079863493733,77.21366067491157,"North Indian, Chinese, Fast Food",3.3,600.0
15,,Haldiram's,Indian Restaurant,28.63422999171808,77.22233494432798,Fast Food,0,300.0
16,,The exotic roof top Restaurant,Indian Restaurant,28.641039172929673,77.2136341282525,"North Indian, Chinese, Fast Food",3.3,600.0
17,,McDonald's,Fast Food Restaurant,28.64493401837252,77.21398813391185,Bakery,3.1,400.0
18,,Kake-Da-Hotel,Indian Restaurant,28.634710714433357,77.22201573164016,"North Indian, Mughlai",4.0,850.0
19,,Pt. Gaya Prasad Shiv Charan Paranthewale | पंडित गया प्रसाद शिव चरण परांठे वाले,Indian Restaurant,28.656027192178698,77.23043753835134,North Indian,3.9,150.0
20,,Domino's Pizza,Pizza Place,28.668,77.228,"Pizza, Fast Food",2.8,400.0
21,,McDonald's,Fast Food Restaurant,28.656161882924813,77.23420838244962,Bakery,3.1,400.0
22,,McDonald's,Fast Food Restaurant,28.66128895525179,77.22716404005617,Bakery,3.1,400.0
23,,Domino's Pizza,Pizza Place,28.646,77.211,"Pizza, Fast Food",3.9,400.0
24,,Shyam Sweets,Snack Place,28.65053027754531,77.23030274534305,"Mithai, Street Food",4.2,150.0
25,,Satyam Rooftop Restaurant,Restaurant,28.641198,77.21369,"Chinese, North Indian, Seafood",3.5,600.0
26,,Old Famous Jalebi Waala,Indian Restaurant,28.6560115814209,77.23360443115234,"Mithai, Street Food",4.0,100.0
27,,Wah Ji Wah,Vegetarian / Vegan Restaurant,28.656298858067792,77.23308064958253,"North Indian, Chinese",3.3,450.0
28,,McDonald's,Fast Food Restaurant,28.667931115955998,77.22960594046542,Bakery,3.1,400.0
29,,McDonald's,American Restaurant,28.667987929894792,77.22909511030537,Bakery,3.1,400.0
30,,Café Nirvana,Café,28.641333522569326,77.21468332222602,"Desserts, Beverages, Cafe, Fast Food, Sandwich",2.4,600.0
31,,Kwality Hotel,Indian Restaurant,28.645741357338135,77.21537484509369,"Cafe, Fast Food",3.7,650.0
32,,Karen Cafe,Restaurant,28.646062445619535,77.2146056996046,Cafe,0,550.0
33,,Everest Kitchen,Food,28.64152731402215,77.21468429864322,"North Indian, Chinese, Tibetan, Italian, Fast Food",3.4,600.0
34,,Wow Cafe,Café,28.64115,77.214745,"North Indian, Chinese",3.1,350.0
35,,The Shim Tur,Korean Restaurant,28.642412094375384,77.21330319364421,"Korean, Salad",4.0,600.0
36,,Nirula's Express (Kashmiri Gate Metro Station),Fast Food Restaurant,28.6679220096324,77.22910633736561,"Pizza, Fast Food",2.8,400.0
